10,0,0
476, 468, 483
473, 472, 483
475, 467, 481
474, 466, 480
474, 466, 482
477, 465, 480
477, 469, 479
473, 467, 479
472, 467, 478
475, 467, 484
474, 465, 480
473, 466, 481
473, 466, 484
473, 464, 480
474, 463, 480
472, 466, 483
471, 470, 480
473, 466, 480
476, 468, 483
476, 472, 482
474, 465, 479
472, 468, 478
477, 465, 480
475, 466, 481
471, 464, 481
474, 466, 483
472, 465, 479
477, 467, 480
479, 467, 481
476, 465, 482
473, 465, 483
473, 467, 479
472, 469, 479
473, 472, 483
473, 467, 485
477, 467, 482
475, 466, 480
477, 473, 481
476, 468, 482
476, 465, 490
477, 467, 482
471, 465, 482
473, 470, 479
473, 470, 480
477, 469, 480
476, 472, 479
477, 466, 481
477, 467, 483
475, 466, 479
473, 466, 479
476, 463, 480
477, 475, 479
473, 472, 478
472, 467, 480
477, 466, 484
476, 467, 481
475, 468, 480
476, 475, 479
473, 471, 481
472, 467, 478
475, 466, 480
473, 466, 486
473, 467, 484
472, 467, 479
474, 467, 481
476, 464, 478
473, 471, 482
477, 466, 480
476, 467, 479
477, 467, 481
474, 469, 482
472, 470, 478
475, 467, 479
475, 466, 480
474, 469, 481
473, 472, 479
472, 471, 480
473, 468, 480
476, 464, 480
473, 469, 481
477, 470, 482
480, 464, 480
480, 468, 479
476, 466, 485
473, 473, 482
471, 462, 480
472, 467, 480
472, 472, 481
477, 471, 480
475, 465, 472
467, 467, 484
472, 468, 480
474, 468, 480
471, 463, 480
477, 467, 479
476, 470, 480
471, 470, 478
477, 466, 482
477, 469, 482
476, 469, 483
475, 471, 481
474, 465, 483
473, 466, 480
476, 475, 483
476, 467, 480
473, 467, 480
476, 467, 478
477, 467, 490
472, 466, 480
473, 472, 481
472, 468, 480
472, 468, 479
478, 465, 479
474, 467, 481
472, 469, 483
473, 468, 481
473, 466, 480
476, 468, 481
473, 463, 480
471, 466, 479
475, 467, 482
480, 468, 482
480, 467, 480
476, 470, 480
474, 466, 482
472, 467, 478
472, 466, 479
478, 471, 480
478, 472, 483
474, 467, 483
477, 465, 481
477, 466, 478
476, 468, 484
474, 465, 485
472, 467, 480
472, 469, 482
477, 467, 483
476, 479, 481
473, 466, 479
473, 465, 479
472, 467, 480
472, 466, 480
477, 472, 482
473, 466, 478
478, 466, 479
478, 467, 484
473, 467, 483
473, 473, 487
473, 465, 479
477, 468, 481
470, 468, 491
477, 467, 481
478, 465, 484
474, 466, 481
474, 465, 479
477, 466, 479
473, 465, 479
473, 467, 478
473, 465, 476
476, 464, 495
477, 467, 484
476, 467, 482
473, 467, 480
477, 464, 479
477, 463, 479
476, 466, 478
477, 469, 480
473, 466, 479
476, 472, 481
477, 466, 483
473, 472, 479
474, 474, 480
472, 467, 480
476, 466, 480
477, 461, 479
475, 468, 483
473, 466, 480
477, 468, 482
477, 468, 481
473, 473, 479
471, 467, 479
473, 467, 485
480, 467, 483
477, 466, 479
478, 466, 481
475, 468, 479
473, 468, 479
477, 465, 484
477, 467, 484
473, 471, 480
474, 465, 480
474, 470, 481
477, 468, 484
475, 466, 482
477, 467, 481
473, 468, 479
479, 466, 479
476, 466, 481
477, 469, 480
476, 466, 480
20,0,0
251, 252, 253
249, 255, 247
251, 251, 246
250, 255, 248
251, 250, 249
252, 251, 250
252, 252, 245
250, 252, 248
252, 251, 245
252, 255, 247
251, 253, 245
251, 251, 246
251, 253, 247
251, 251, 247
251, 251, 249
253, 251, 244
251, 252, 245
251, 249, 251
253, 252, 251
251, 250, 246
250, 251, 246
250, 252, 246
250, 257, 246
251, 255, 248
250, 251, 246
251, 255, 246
251, 257, 247
250, 251, 247
251, 257, 246
252, 256, 246
250, 254, 246
251, 250, 248
252, 249, 247
255, 251, 246
251, 254, 248
251, 251, 248
250, 250, 247
252, 251, 247
245, 253, 246
251, 251, 253
251, 252, 246
252, 251, 246
256, 251, 247
254, 250, 247
251, 253, 246
252, 251, 249
252, 251, 246
251, 256, 251
250, 250, 250
252, 257, 246
250, 251, 246
251, 253, 247
251, 258, 246
253, 251, 249
251, 255, 245
250, 251, 252
252, 252, 246
255, 253, 246
251, 252, 246
252, 252, 248
249, 250, 246
251, 252, 246
250, 253, 252
252, 254, 250
250, 250, 250
254, 250, 247
253, 251, 251
254, 253, 247
253, 254, 246
254, 251, 249
252, 255, 250
251, 254, 247
252, 251, 249
251, 248, 247
251, 252, 246
251, 252, 249
250, 253, 246
251, 249, 250
251, 254, 248
251, 257, 246
251, 253, 247
244, 256, 246
251, 251, 248
252, 252, 245
254, 259, 246
251, 251, 246
250, 254, 248
253, 252, 245
253, 251, 247
254, 248, 247
252, 254, 250
251, 249, 248
